Ticker,Date
ATVI,10/29/2020
ATVI,08/04/2020
ATVI,05/05/2020
ATVI,02/06/2020
ATVI,11/07/2019
ATVI,08/08/2019
ATVI,05/02/2019
ATVI,02/12/2019
ATVI,11/08/2018
ATVI,08/02/2018
ATVI,05/03/2018
ATVI,02/08/2018
ATVI,11/02/2017
ATVI,08/03/2017
ATVI,05/04/2017
ATVI,02/09/2017
ATVI,11/03/2016
ATVI,08/04/2016
ATVI,05/05/2016
ATVI,02/11/2016
ATVI,11/03/2015
ATVI,08/04/2015
ATVI,05/06/2015
ATVI,02/05/2015
TWTR,02/05/2021
TWTR,10/29/2020 07:00 EDT
TWTR,07/23/2020
TWTR,04/30/2020
TWTR,02/06/2020 07:00 EST
TWTR,10/24/2019
TWTR,07/26/2019
TWTR,04/23/2019
TWTR,02/07/2019
TWTR,10/25/2018
TWTR,07/27/2018
TWTR,04/25/2018
TWTR,02/08/2018
TWTR,10/26/2017
TWTR,07/27/2017
TWTR,04/26/2017
TWTR,02/09/2017
TWTR,10/27/2016
TWTR,07/26/2016
TWTR,10/27/2015
TWTR,07/28/2015
TWTR,04/28/2015
TWTR,02/05/2015
TWTR,10/27/2014
TWTR,07/29/2014
SNAP,02/04/2021
SNAP,10/20/2020
SNAP,07/21/2020
SNAP,04/21/2020
SNAP,02/04/2020
SNAP,10/22/2019
SNAP,07/23/2019
SNAP,04/23/2019
SNAP,02/05/2019
SNAP,10/25/2018
SNAP,08/07/2018
SNAP,05/01/2018
SNAP,02/06/2018
SNAP,08/10/2017
SNAP,05/10/2017
CRM,12/01/2020
CRM,08/25/2020
CRM,05/28/2020
CRM,02/25/2020
CRM,12/03/2019
CRM,08/22/2019
CRM,06/04/2019
CRM,03/04/2019
CRM,11/27/2018
CRM,08/29/2018
CRM,05/29/2018
CRM,02/28/2018
CRM,11/21/2017
CRM,08/22/2017
CRM,05/18/2017
CRM,02/28/2017
CRM,11/17/2016
CRM,08/29/2016
CRM,05/18/2016
CRM,02/25/2016
CRM,11/18/2015
CRM,08/20/2015
CRM,05/20/2015
CRM,02/25/2015
CRM,11/19/2014
